Name,Rarity,Price
Darkrai (Eevee Stamped),Uncommon,$0.15 
Energy Recycler  (#32 Pikachu Stamped),Uncommon,$0.15 
Energy Retrieval (#37 Cinderace Stamped),Uncommon,$0.15 
Energy Retrieval (#25 Cinderace Stamped),Uncommon,$0.15 
Sharpedo (Eevee Stamped),Uncommon,$0.15 
Vulpix (#18 Cinderace Stamped),Common,$0.15 
Acerola's Premonition,Uncommon,$0.04 
Aggron VMAX,Ultra Rare,$2.67 
Arceus V,Ultra Rare,$12.68 
Arceus V (Full Art),Ultra Rare,$24.56 
Arceus VSTAR (Secret) (176),Ultra Rare,$32.77 
Axew,Common,$0.04 
Barry,Uncommon,$0.03 
Beartic,Uncommon,$0.02 
Bidoof,Common,$0.07 
Boss's Orders,Holo Rare,$0.84 
Buizel,Common,$0.04 
Cafe Master,Uncommon,$0.03 
Charizard V,Ultra Rare,$4.37 
Charizard V (Full Art),Ultra Rare,$43.32 
Charizard VSTAR (Secret),Ultra Rare,$155.07 
Cheren's Care (Full Art),Ultra Rare,$5.82 
Cherubi,Common,$0.03 
Chimecho,Common,$0.03 
Cinccino,Uncommon,$0.02 
Cleansing Gloves,Uncommon,$0.03 
Clefairy,Common,$0.02 
Code Card - Brilliant Stars 3 Pack Blister [Leafeon],Code Card,$0.55 
Code Card - Brilliant Stars Build & Battle Box,Code Card,$0.34 
Code Card - Brilliant Stars Single Pack Blister [Flapple],Code Card,$0.15 
Code Card - Leafeon VSTAR Special Collection,Code Card,$1.08 
Corphish,Common,$0.02 
Cubchoo,Common,$0.02 
Cynthia's Ambition (Full Art),Ultra Rare,$14.58 
Darkness Energy (2022 Unnumbered),Common,$0.04 
Double Turbo Energy,Uncommon,$0.22 
Drampa V,Ultra Rare,$0.93 
Dusclops,Uncommon,$0.03 
Duskull,Common,$0.03 
Electabuzz,Common,$0.02 
Empoleon,Holo Rare,$0.20 
Escavalier,Rare,$0.07 
Exeggutor,Uncommon,$0.02 
Fighting Energy (2022 Unnumbered),Common,$0.04 
Floatzel,Uncommon,$0.02 
Flygon V,Ultra Rare,$1.04 
Fraxure,Uncommon,$0.03 
Friends in Galar,Uncommon,$0.04 
Galarian Articuno V (Secret),Ultra Rare,$24.20 
Galarian Zapdos V (Secret),Ultra Rare,$27.87 
Gible,Common,$0.02 
Golett,Common,$0.03 
Granbull V,Ultra Rare,$0.82 
Grass Energy (2022 Unnumbered),Common,$0.03 
Grimmsnarl,Rare,$0.07 
Hawlucha,Common,$0.02 
Heatran,Rare,$0.14 
Honchkrow V,Ultra Rare,$0.83 
Honchkrow V (Full Art),Ultra Rare,$2.64 
Impidimp,Common,$0.02 
Karrablast,Common,$0.02 
Kindler (Full Art),Ultra Rare,$2.75 
Kingler V,Ultra Rare,$1.20 
Klang,Uncommon,$0.02 
Klinklang,Rare,$0.07 
Liepard,Rare,$0.13 
Lucario,Holo Rare,$0.30 
Lumineon V (Alternate Full Art),Ultra Rare,$23.87 
Luxio,Uncommon,$0.02 
Magma Basin,Uncommon,$0.06 
Magmar,Common,$0.02 
Manaphy,Rare,$0.27 
Marnie's Pride (Full Art),Ultra Rare,$19.60 
Mewtwo,Rare,$0.19 
Mimikyu V,Ultra Rare,$1.21 
Minccino,Common,$0.03 
Monferno,Uncommon,$0.03 
Morpeko V,Ultra Rare,$1.14 
Muk,Rare,$0.09 
Pachirisu,Uncommon,$0.02 
Piplup,Common,$0.03 
Prinplup,Uncommon,$0.03 
Professor's Research,Holo Rare,$0.28 
Purrloin,Common,$0.02 
Raichu V (Full Art),Ultra Rare,$6.27 
Riolu,Common,$0.03 
Roseanne's Backup (Full Art),Ultra Rare,$6.18 
Sawk,Common,$0.03 
Shaymin V (Full Art),Ultra Rare,$3.92 
Shaymin VSTAR (Secret),Ultra Rare,$9.35 
Shroomish,Common,$0.03 
Simisear V,Ultra Rare,$0.93 
Snorunt,Common,$0.02 
Staraptor,Rare,$0.06 
Starly,Common,$0.03 
Staryu,Common,$0.02 
Throh,Common,$0.02 
Tornadus,Rare,$0.07 
Trapinch,Common,$0.02 
Turtwig,Common,$0.03 
Ultra Ball (Secret),Ultra Rare,$25.00 
VSTAR Token,Promo,$0.06 
Weavile,Uncommon,$0.02 
Whimsicott V (Full Art),Ultra Rare,$3.70 
Whimsicott VSTAR (Secret),Ultra Rare,$8.11 
Wormadam (77),Rare,$0.10 
Zamazenta V,Ultra Rare,$1.26 
Zarude V,Ultra Rare,$1.08 
Aggron V,Ultra Rare,$1.11 
Alcremie,Rare,$0.08 
Arceus V (Alternate Full Art),Ultra Rare,$56.22 
Arceus VSTAR,Ultra Rare,$31.92 
Arceus VSTAR (Secret) (184),Ultra Rare,$49.83 
Baltoy,Common,$0.02 
Barry (Full Art),Ultra Rare,$3.17 
Bibarel,Holo Rare,$1.27 
Blunder Policy,Uncommon,$0.04 
Breloom,Rare,$0.08 
Burmy,Common,$0.05 
Castform,Common,$0.02 
Charizard V (Alternate Full Art),Ultra Rare,$196.21 
Charizard VSTAR,Ultra Rare,$16.72 
Cheren's Care,Uncommon,$0.08 
Cheren's Care (Secret),Ultra Rare,$4.53 
Chimchar,Common,$0.03 
Choice Belt,Uncommon,$0.21 
Claydol,Uncommon,$0.03 
Clefable,Rare,$0.07 
Code Card - Brilliant Stars 3 Pack Blister [Glaceon],Code Card,$0.53 
Code Card - Brilliant Stars Booster Pack,Code Card,$0.15 
Code Card - Brilliant Stars Elite Trainer Box,Code Card,$0.07 
Code Card - Brilliant Stars Single Pack Blister [Eevee],Code Card,$0.22 
Code Card - Glaceon VSTAR Special Collection,Code Card,$1.01 
Collapsed Stadium,Uncommon,$0.06 
Crawdaunt,Uncommon,$0.03 
Cynthia's Ambition,Uncommon,$0.14 
Cynthia's Ambition (Secret),Ultra Rare,$8.68 
Dedenne,Common,$0.02 
Dracovish V,Ultra Rare,$0.94 
Druddigon,Rare,$0.08 
Dusknoir,Holo Rare,$0.13 
Eiscue,Rare,$0.09 
Electivire,Rare,$0.12 
Entei V,Ultra Rare,$2.03 
Exeggcute,Common,$0.03 
Farfetch'd,Common,$0.03 
Fire Energy (2022 Unnumbered),Common,$0.02 
Flygon,Rare,$0.07 
Flygon V (Full Art),Ultra Rare,$3.78 
Fresh Water Set,Uncommon,$0.03 
Gabite,Uncommon,$0.04 
Galarian Moltres V (Secret),Ultra Rare,$29.22 
Garchomp,Holo Rare,$0.19 
Gloria,Uncommon,$0.03 
Golurk,Rare,$0.09 
Granbull V (Full Art),Ultra Rare,$2.01 
Grimer,Common,$0.03 
Grotle,Uncommon,$0.03 
Haxorus,Rare,$0.08 
Hitmontop,Uncommon,$0.03 
Honchkrow V (Alternate Full Art),Ultra Rare,$16.78 
Hunting Gloves,Uncommon,$0.02 
Infernape,Holo Rare,$0.13 
Kindler,Uncommon,$0.05 
Kindler (Secret),Ultra Rare,$4.10 
Kingler VMAX,Ultra Rare,$2.78 
Klink,Common,$0.02 
Lapras,Rare,$0.08 
Lightning Energy (2022 Unnumbered),Common,$0.04 
Lumineon V,Ultra Rare,$2.25 
Lumineon V (Full Art),Ultra Rare,$9.92 
Luxray,Rare,$0.10 
Magma Basin (Secret),Ultra Rare,$10.90 
Magmortar,Rare,$0.17 
Marnie's Pride,Uncommon,$0.06 
Metal Energy (2022 Unnumbered),Common,$0.03 
Milcery,Common,$0.03 
Mimikyu VMAX,Ultra Rare,$3.05 
Moltres,Holo Rare,$0.21 
Morgrem,Uncommon,$0.04 
Mothim,Rare,$0.08 
Nosepass,Common,$0.02 
Pikachu V (Full Art),Ultra Rare,$11.87 
Pot Helmet,Uncommon,$0.03 
Probopass,Uncommon,$0.03 
Psychic Energy (2022 Unnumbered),Common,$0.03 
Raichu V,Ultra Rare,$1.50 
Raikou V,Ultra Rare,$1.55 
Roseanne's Backup,Uncommon,$0.08 
Roseanne's Backup (Secret),Ultra Rare,$5.28 
Shaymin V,Ultra Rare,$1.16 
Shaymin VSTAR,Ultra Rare,$2.40 
Shinx,Common,$0.02 
Sigilyph,Uncommon,$0.03 
Sneasel,Common,$0.03 
Spiritomb,Common,$0.03 
Staravia,Uncommon,$0.03 
Starmie,Uncommon,$0.02 
Team Yell's Cheer,Uncommon,$0.02 
Torkoal,Uncommon,$0.04 
Torterra,Holo Rare,$0.27 
Tropius,Uncommon,$0.02 
Ultra Ball,Uncommon,$0.22 
Vibrava,Uncommon,$0.02 
Water Energy (2022 Unnumbered),Common,$0.05 
Whimsicott V,Ultra Rare,$1.69 
Whimsicott VSTAR,Ultra Rare,$2.52 
Wormadam (10),Rare,$0.09 
Wormadam (98),Rare,$0.11 
Zamazenta V (Full Art),Ultra Rare,$3.92 
Acerola's Premonition,Ultra Rare,$13.28 
Ariados,Ultra Rare,$0.87 
Cafe Master,Ultra Rare,$4.20 
Dusknoir,Ultra Rare,$1.03 
Flareon,Ultra Rare,$2.79 
Houndoom,Ultra Rare,$1.82 
Mimikyu V,Ultra Rare,$14.70 
Octillery,Ultra Rare,$1.39 
Rapid Strike Style Mustard,Ultra Rare,$3.90 
Rapid Strike Urshifu VMAX,Ultra Rare,$12.39 
Single Strike Style Mustard,Ultra Rare,$4.59 
Single Strike Urshifu VMAX,Ultra Rare,$11.42 
Sylveon V,Ultra Rare,$19.85 
Umbreon V,Ultra Rare,$20.36 
Vaporeon,Ultra Rare,$2.83 
Alcremie,Ultra Rare,$0.98 
Boltund V,Ultra Rare,$10.81 
Dedenne,Ultra Rare,$1.37 
Eevee,Ultra Rare,$2.81 
Gloria,Ultra Rare,$14.45 
Jolteon,Ultra Rare,$2.96 
Mimikyu VMAX,Ultra Rare,$16.53 
Oranguru,Ultra Rare,$1.52 
Rapid Strike Urshifu V,Ultra Rare,$6.76 
Rapid Strike Urshifu VMAX (Secret),Ultra Rare,$3.96 
Single Strike Urshifu V,Ultra Rare,$6.72 
Single Strike Urshifu VMAX (Secret),Ultra Rare,$3.96 
Sylveon VMAX,Ultra Rare,$25.75 
Umbreon VMAX,Ultra Rare,$36.88 
Zekrom,Ultra Rare,$1.78 
Absol,Rare,$0.14 
Adventurer's Discovery,Uncommon,$0.62 
Araquanid,Rare,$0.13 
Arrokuda,Common,$0.04 
Baltoy,Common,$0.03 
Basculin,Common,$0.07 
Bewear,Uncommon,$0.03 
Boltund V,Ultra Rare,$0.99 
Boltund VMAX,Ultra Rare,$2.38 
Breloom,Uncommon,$0.07 
Bug Catcher,Uncommon,$0.05 
Bunnelby,Common,$0.04 
Carvanha,Common,$0.03 
Celebi V (Alternate Full Art),Ultra Rare,$24.47 
Centiskorch (49),Uncommon,$0.06 
Chandelure V (Full Art),Ultra Rare,$2.61 
Chandelure VMAX (Secret),Secret Rare,$6.70 
Charjabug,Uncommon,$0.08 
Chili & Cilan & Cress,Uncommon,$0.06 
Chili & Cilan & Cress (Secret),Secret Rare,$5.88 
Cinderace V (44),Ultra Rare,$1.13 
Clamperl,Common,$0.04 
Clawitzer,Uncommon,$0.06 
Clobbopus,Common,$0.04 
Code Card - Dragonite V Box,Code Card,$0.62 
Code Card - Fusion Strike Build & Battle Box,Code Card,$0.55 
Code Card - Fusion Strike Pokemon Center Elite Trainer Box,Code Card,$0.49 
Code Card - Fusion Strike Single Pack Blister [Tepig],Code Card,$0.09 
Code Card - Rapid Strike Urshifu VMAX Premium Collection,Code Card,$1.62 
Cook,Uncommon,$0.04 
Corviknight,Rare,$0.12 
Crabominable V,Ultra Rare,$0.86 
Cram-o-matic,Uncommon,$0.40 
Croconaw,Uncommon,$0.05 
Crossceiver,Uncommon,$0.04 
Dancer,Uncommon,$0.05 
Dancer (Secret),Secret Rare,$4.99 
Delcatty,Uncommon,$0.04 
Dewpider,Common,$0.03 
Dodrio V,Ultra Rare,$0.99 
Drakloak,Uncommon,$0.06 
Dreepy,Common,$0.07 
Dubwool,Uncommon,$0.08 
Durant,Common,$0.04 
Eelektross,Rare,$0.13 
Eldegoss,Uncommon,$0.03 
Elesa's Sparkle,Uncommon,$0.13 
Elesa's Sparkle (Secret),Secret Rare,$9.70 
Excadrill,Uncommon,$0.04 
Falinks (155),Common,$0.03 
Feraligatr,Holo Rare,$0.26 
Flaaffy (Secret),Secret Rare,$11.68 
Fusion Strike Energy,Uncommon,$0.14 
Galarian Cursola,Rare,$0.12 
Galarian Darumaka,Common,$0.03 
Galarian Meowth,Common,$0.05 
Galarian Perrserker,Uncommon,$0.05 
Garbodor,Uncommon,$0.04 
Genesect V (Alternate Full Art),Ultra Rare,$28.07 
Gengar V,Ultra Rare,$5.08 
Gengar VMAX (Alternate Art Secret),Secret Rare,$105.87 
Gligar,Common,$0.05 
Golem,Rare,$0.13 
Goomy,Common,$0.05 
Gossifleur,Common,$0.02 
Grapploct,Uncommon,$0.04 
Graveler,Uncommon,$0.05 
Greedent V (Alternate Full Art),Ultra Rare,$12.19 
Greedent VMAX,Ultra Rare,$1.78 
Greninja V,Ultra Rare,$1.57 
Growlithe,Common,$0.03 
Hariyama,Uncommon,$0.12 
Heatmor,Uncommon,$0.07 
Helioptile,Common,$0.04 
Huntail,Rare,$0.15 
Indeedee,Common,$0.04 
Inteleon VMAX,Ultra Rare,$3.03 
Jigglypuff,Common,$0.05 
Jynx,Common,$0.04 
Klefki,Common,$0.02 
